dataset,accuracy,precision,recall,f1,roc_auc
df1_UnderSampling,0.8163578667212611,0.5817307692307693,0.8280581693755347,0.6833745146487822,0.9056586924196477
df1_UnderSampling,0.8159484082301157,0.5790861159929701,0.8455945252352438,0.6874130737134909,0.9066029944839545
df1_UnderSampling,0.8077592384072064,0.5663972286374134,0.8391787852865698,0.6763185108583247,0.9023275037099225
df1_UnderSampling,0.8125703756781656,0.5761032722906034,0.820786997433704,0.6770153466219792,0.9015817491264659
df1_UnderSampling,0.8096018016173611,0.5697606538237011,0.834901625320787,0.6773074253990284,0.9022627218024877
df1_UnderSampling,0.8105230832224384,0.5718501032753025,0.8289136013686912,0.676794133053955,0.9017394014094194
df1_UnderSampling,0.8108301770907974,0.5727434679334917,0.8250641573994867,0.676130389064143,0.9029444139577124
df1_UnderSampling,0.8115467294503019,0.5730667450749779,0.8336184773310522,0.6792124063425684,0.905427941049673
df1_UnderSampling,0.8089876138806429,0.5705741626794258,0.8160821214713431,0.6715945089757128,0.8967102993390346
df1_UnderSampling,0.8183027945542021,0.5850710184345724,0.8280581693755347,0.6856738091021781,0.9048027999598012
df2_raw,0.8443034087419388,0.6991711360312043,0.613344739093242,0.6534518113465482,0.8947792171582781
df2_raw,0.8426655747773569,0.6958435207823961,0.6086398631308811,0.64932694501483,0.8942644153989731
df2_raw,0.8438939502507933,0.6980029225523624,0.6129170230966638,0.65269870189023,0.8922082877327414
df2_raw,0.8429726686457161,0.7040609137055838,0.5932420872540634,0.6439182915506035,0.8919893933800316
df2_raw,0.8437915856280069,0.7003948667324777,0.606928999144568,0.65032080659945,0.8895573809990032
df2_raw,0.8397993653393387,0.6943187531422825,0.5906757912745937,0.638317541021493,0.8917021772822081
df2_raw,0.8464530658204524,0.707631318136769,0.6107784431137725,0.6556473829201102,0.8959069576401727
df2_raw,0.8426655747773569,0.7011551983927674,0.5970915312232677,0.6449526449526449,0.8921886027817484
df2_raw,0.8384686252431159,0.69,0.5902480752780154,0.636237897648686,0.8860018586737938
df2_raw,0.8403111884532706,0.6954773869346733,0.5919589392643285,0.6395563770794824,0.8918068471166554
df2_OverSampling,0.8371378851468932,0.6573957016434893,0.6672369546621043,0.6622797707493101,0.891617192398754
df2_OverSampling,0.8331456648582249,0.6461601981833196,0.6693755346449958,0.657563025210084,0.8911175284818793
df2_OverSampling,0.8328385709898659,0.6432344575375863,0.6770744225834047,0.659720775161492,0.8884669670981584
df2_OverSampling,0.8390828129798341,0.6621507197290432,0.6689478186484175,0.6655319148936171,0.8874919001031331
df2_OverSampling,0.8348858634455932,0.6502279320348114,0.6710863986313088,0.6604925278888655,0.8857345289811405
df2_OverSampling,0.8327362063670796,0.6490262489415749,0.655688622754491,0.6523404255319148,0.889275086138928
df2_OverSampling,0.8376497082608251,0.6569282136894825,0.6732249786142002,0.6649767638360794,0.8919668592913947
df2_OverSampling,0.8343740403316614,0.6528013582342954,0.6578272027373824,0.6553046442266723,0.8890730275995676
df2_OverSampling,0.8284368922100522,0.640373197625106,0.6458511548331908,0.6431005110732538,0.8811051407767544
df2_OverSampling,0.8358071450506704,0.6557724957555179,0.6608212147134302,0.6582871751171708,0.8901069192142274
df2_UnderSampling,0.8114443648275156,0.5749697702539298,0.8135158254918734,0.6737513283740701,0.8974546437432535
df2_UnderSampling,0.8061214044426246,0.5649882903981265,0.825491873396065,0.6708376781369482,0.8967585620039694
df2_UnderSampling,0.7983416931108609,0.5530259365994237,0.820786997433704,0.6608126721763086,0.8936293167169325
df2_UnderSampling,0.8068379568021292,0.5675351901766996,0.8105218135158255,0.6676061299982385,0.8958949567270673
df2_UnderSampling,0.8044835704780428,0.562793427230047,0.8203592814371258,0.6675948485903237,0.8938876097507966
df2_UnderSampling,0.8058143105742656,0.5649484536082474,0.8203592814371258,0.6691086691086691,0.8947190686969103
df2_UnderSampling,0.806223769065411,0.5658868818477939,0.8173652694610778,0.6687664041994751,0.8974943877744253
df2_UnderSampling,0.806223769065411,0.565614862872309,0.8203592814371258,0.6695758422063187,0.8964979666366557
df2_UnderSampling,0.8005937148121609,0.5585234093637454,0.7959794696321643,0.6564373897707231,0.8875313275634555
df2_UnderSampling,0.8122632818098066,0.5766423357664233,0.8109495295124037,0.6740135087095628,0.8982997440150554
