dataset,accuracy,precision,recall,f1,roc_auc
df1_raw,0.8758317125601393,0.7845220030349014,0.6633875106928999,0.7188876013904982,0.9299881694595697
df1_raw,0.8750127955778483,0.7810770005032712,0.6638152266894782,0.7176878612716763,0.9309147147771474
df1_raw,0.872965503122121,0.7714002968827314,0.6668092386655261,0.7153016746960312,0.9290924466310473
df1_raw,0.8719418568942573,0.7817522032141005,0.6449957228400343,0.7068197797047105,0.9267538802088999
df1_raw,0.8674378134916573,0.7621920563097033,0.6484174508126604,0.7007164317078808,0.9228481154076874
df1_raw,0.8694851059473846,0.7677581863979849,0.6518391787852865,0.7050659264399722,0.9245970830125894
df1_raw,0.8667212611321528,0.7551724137931034,0.655688622754491,0.7019230769230769,0.9293295869763443
df1_raw,0.8733749616132664,0.788370874803562,0.6437125748502994,0.7087355780550977,0.9294955276597162
df1_raw,0.8649810625447846,0.7671735710540115,0.625748502994012,0.689281507656066,0.9216020349864893
df1_raw,0.8728631384993346,0.7804503582395087,0.6522668947818648,0.7106244175209693,0.9306556734849122
df1_OverSampling,0.8384686252431159,0.619572057898049,0.8421727972626176,0.7139231327048586,0.9292103836619973
df1_OverSampling,0.8383662606203296,0.6168051708217913,0.8571428571428571,0.7173796312869161,0.9308186211347993
df1_OverSampling,0.8333503941037977,0.6084300549786195,0.8520102651839179,0.7099073414112615,0.9279066010087214
df1_OverSampling,0.8336574879721568,0.6113714464229928,0.8370402053036784,0.7066257447192634,0.9248480373585835
df1_OverSampling,0.8336574879721568,0.6106112317716413,0.8417450812660393,0.7077863693580291,0.9228606919041552
df1_OverSampling,0.8287439860784113,0.6004228329809725,0.8502994011976048,0.7038413878562577,0.9233805012387128
df1_OverSampling,0.8378544375063978,0.6155024509803921,0.8592814371257484,0.7172438414851838,0.9285306772693724
df1_OverSampling,0.8364213327873887,0.6134969325153374,0.8554319931565441,0.7145409074669525,0.9282323236334874
df1_OverSampling,0.8344764049544477,0.6148454921949665,0.825491873396065,0.7047653825086726,0.9217902507459848
df1_OverSampling,0.8417442931722796,0.624215809284818,0.8511548331907614,0.7202316322837495,0.9305965610735966
df1_UnderSampling,0.8305865492885659,0.6016066646831301,0.864841745081266,0.7095981751184418,0.9281738155847024
df1_UnderSampling,0.8269014228682567,0.5943974321564051,0.8712574850299402,0.7066782307025152,0.9289886401716434
df1_UnderSampling,0.8229092025795884,0.5875576036866359,0.8725406330196749,0.7022375215146299,0.9259814761157654
df1_UnderSampling,0.8273108813594022,0.5967310549777117,0.8588537211291702,0.7041907767841487,0.9242842822343087
df1_UnderSampling,0.8236257549390931,0.5893635571054926,0.8674080410607357,0.7018515314068178,0.9202711711360139
df1_UnderSampling,0.8217831917289384,0.5863465432455887,0.8669803250641575,0.6995685936151855,0.92292884097426
df1_UnderSampling,0.8256730473948204,0.5927007299270073,0.8682634730538922,0.7044941870553532,0.9252016182180884
df1_UnderSampling,0.8259801412631794,0.5937683715461494,0.8639863130881095,0.7038327526132404,0.9262698721594818
df1_UnderSampling,0.8278227044733341,0.5980861244019139,0.8554319931565441,0.703977472720873,0.920867763291112
df1_UnderSampling,0.8317125601392159,0.6029062870699882,0.869546621043627,0.7120840630472854,0.9276577187628319
df1_BothSampling,0.8305865492885659,0.6016066646831301,0.864841745081266,0.7095981751184418,0.9281738155847024
df1_BothSampling,0.8269014228682567,0.5943974321564051,0.8712574850299402,0.7066782307025152,0.9289886401716434
df1_BothSampling,0.8229092025795884,0.5875576036866359,0.8725406330196749,0.7022375215146299,0.9259814761157654
df1_BothSampling,0.8273108813594022,0.5967310549777117,0.8588537211291702,0.7041907767841487,0.9242842822343087
df1_BothSampling,0.8236257549390931,0.5893635571054926,0.8674080410607357,0.7018515314068178,0.9202711711360139
df1_BothSampling,0.8217831917289384,0.5863465432455887,0.8669803250641575,0.6995685936151855,0.92292884097426
df1_BothSampling,0.8256730473948204,0.5927007299270073,0.8682634730538922,0.7044941870553532,0.9252016182180884
df1_BothSampling,0.8259801412631794,0.5937683715461494,0.8639863130881095,0.7038327526132404,0.9262698721594818
df1_BothSampling,0.8278227044733341,0.5980861244019139,0.8554319931565441,0.703977472720873,0.920867763291112
df1_BothSampling,0.8317125601392159,0.6029062870699882,0.869546621043627,0.7120840630472854,0.9276577187628319
df2_raw,0.8608864776333299,0.7503836317135549,0.6274593669803251,0.6834381551362684,0.9146007253041066
df2_raw,0.860067560651039,0.7463216641298833,0.6291702309666382,0.6827570201902994,0.9144615204679171
df2_raw,0.8566895280990889,0.7392857142857143,0.6197604790419161,0.6742671009771987,0.9119003759595405
df2_raw,0.8587368205548163,0.7448875255623721,0.6231822070145423,0.6786213320912902,0.9118789930376285
df2_raw,0.8547446002661481,0.7287207565953211,0.6261762189905903,0.673567977915804,0.9097960144075422
df2_raw,0.860067560651039,0.7473255221599593,0.6274593669803251,0.6821669379214136,0.9106739804893355
df2_raw,0.8559729757395844,0.7368956743002545,0.6193327630453379,0.6730188240762259,0.9142876079549765
df2_raw,0.8641621455624936,0.7661927330173776,0.6223267750213858,0.6868067028557941,0.91379286527585
df2_raw,0.8535162247927116,0.7393139841688654,0.5992301112061591,0.66194188518781,0.9064126490660183
df2_raw,0.8570989865902344,0.7476340694006309,0.6082121471343028,0.6707547169811321,0.9137901024757108
df2_OverSampling,0.8204524516327157,0.5890243902439024,0.8263473053892215,0.6877892488430046,0.9122579283442458
df2_OverSampling,0.8203500870099294,0.5874062968515742,0.8378956372968349,0.6906398730830249,0.9116137066659115
